Handel, Andreas (Author)
Time span:1900-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Community Outbreak Investigation of SARS-CoV-2 Transmission Among Bus Riders in Eastern China","Shen, Ye; Li, Changwei; Dong, Hongjun; Wang, Zhen; Martinez, Leonardo; Sun, Zhou; Handel, Andreas; Chen, Zhiping; Chen, Enfu; Ebell, Mark H.; Wang, Fan; Yi, Bo; Wang, Haibin; Wang, Xiaoxiao; Wang, Aihong; Chen, Bingbing; Qi, Yanling; Liang, Lirong; Li, Yang; Ling, Feng; Chen, Junfang; Xu, Guozhang","","","","JAMA INTERNAL MEDICINE","DEC 2020","2020","180","12","","","","1665","1671","","10.1001/jamainternmed.2020.5225","","","53","26.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","48"
"Exploring the role of the immune response in preventing antibiotic resistance","Handel, Andreas; Margolis, Elisa; Levin, Bruce R.","","","","JOURNAL OF THEORETICAL BIOLOGY","FEB 21 2009","2009","256","4","","","","655","662","","10.1016/j.jtbi.2008.10.025","","","52","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","1","4","4","2","3","3","3","10","9"
"Crossing the scale from within-host infection dynamics to between-host transmission fitness: a discussion of current assumptions and knowledge","Handel, Andreas; Rohani, Pejman","","","","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","AUG 19 2015","2015","370","1675","","","","","","20140302","10.1098/rstb.2014.0302","","","48","6.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","7","7","12","10","6"
"Viral factors in influenza pandemic risk assessment","Lipsitch, Marc; Barclay, Wendy; Raman, Rahul; Russell, Charles J.; Belser, Jessica A.; Cobey, Sarah; Kasson, Peter M.; Lloyd-Smith, James O.; Maurer-Stroh, Sebastian; Riley, Steven; Beauchemin, Catherine A. A.; Bedford, Trevor; Friedrich, Thomas C.; Handel, Andreas; Herfst, Sander; Murcia, Pablo R.; Roche, Benjamin; Wilke, Claus O.; Russell, Colin A.","","","","ELIFE","NOV 11 2016","2016","5","","","","","","","e18491","10.7554/eLife.18491","","","46","7.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","12","12","5","6"
"Cost-effectiveness and resource implications of aggressive action on tuberculosis in China, India, and South Africa: a combined analysis of nine models","Menzies, Nicolas A.; Gomez, Gabriela B.; Bozzani, Fiammetta; Chatterjee, Susmita; Foster, Nicola; Garcia Baena, Ines; Laurence, Yoko V.; Qiang, Sun; Siroka, Andrew; Sweeney, Sedona; Verguet, Stephane; Arinaminpathy, Nimalan; Azman, Andrew S.; Bendavid, Eran; Chang, Stewart T.; Cohen, Ted; Denholm, Justin T.; Dowdy, David W.; Eckhoff, Philip A.; Goldhaber-Fiebert, Jeremy D.; Handel, Andreas; Huynh, Grace H.; Lalli, Marek; Lin, Hsien-Ho; Mandal, Sandip; McBryde, Emma S.; Pandey, Surabhi; Salomon, Joshua A.; Suen, Sze-Chuan; Sumner, Tom; Trauer, James M.; Wagner, Bradley G.; Whalen, Christopher C.; Wu, Chieh-Yin; Boccia, Delia; Chadha, Vineet K.; Charalambous, Salome; Chin, Daniel P.; Churchyard, Gavin; Daniels, Colleen; Dewan, Puneet; Ditiu, Lucica; Eaton, Jeffrey W.; Grant, Alison D.; Hippner, Piotr; Hosseini, Mehran; Mametja, David; Pretorius, Carel; Pillay, Yogan; Rade, Kiran; Sahu, Suvanand; Wang, Lixia; Houben, Rein M. G. J.; Kimerling, Michael E.; White, Richard G.; Vassall, Anna","","","","LANCET GLOBAL HEALTH","NOV 2016","2016","4","11","","","","E816","E826","","10.1016/S2214-109X(16)30265-0","","","44","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","8","16","4"
"What is the best control strategy for multiple infectious disease outbreaks?","Handel, Andreas; Longini, Ira M., Jr.; Antia, Rustom","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","MAR 22 2007","2007","274","1611","","","","833","837","","10.1098/rspb.2006.0015","","","39","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","6","4","3","3","4","1","0","0","4","2","1","3","6"
"Ecological analysis of antigen-specific CTL repertoires defines the relationship between naive and immune T-cell populations","Thomas, Paul G.; Handel, Andreas; Doherty, Peter C.; La Gruta, Nicole L.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","JAN 29 2013","2013","110","5","","","","1839","1844","","10.1073/pnas.1222149110","","","38","4.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","6","3","4","2","3","6","5"
"Antiviral resistance and the control of pandemic influenza: The roles of stochasticity, evolution and model details","Handel, Andreas; Longini, Ira M., Jr.; Antia, Rustom","","","","JOURNAL OF THEORETICAL BIOLOGY","JAN 7 2009","2009","256","1","","","","117","125","","10.1016/j.jtbi.2008.09.021","","","36","2.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","5","6","4","1","2","3","4","2","1","1"
"A Multi-scale Analysis of Influenza A Virus Fitness Trade-offs due to Temperature-dependent Virus Persistence","Handel, Andreas; Brown, Justin; Stallknecht, David; Rohani, Pejman","","","","PLOS COMPUTATIONAL BIOLOGY","MAR 2013","2013","9","3","","","","","","e1002989","10.1371/journal.pcbi.1002989","","","35","3.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","1","6","1","5","7","4"
"Recognition of Distinct Cross-Reactive Virus-Specific CD8(+) T Cells Reveals a Unique TCR Signature in a Clinical Setting","Nguyen, Thi H. O.; Rowntree, Louise C.; Pellicci, Daniel G.; Bird, Nicola L.; Handel, Andreas; Kjer-Nielsen, Lars; Kedzierska, Katherine; Kotsimbos, Tom C.; Mifsud, Nicole A.","","","","JOURNAL OF IMMUNOLOGY","JUN 1 2014","2014","192","11","","","","5039","5049","","10.4049/jimmunol.1303147","","","34","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","7","4","2","5","1"
"Modeling inoculum dose dependent patterns of acute virus infections","Li, Yan; Handel, Andreas","","","","JOURNAL OF THEORETICAL BIOLOGY","APR 21 2014","2014","347","","","","","63","73","","10.1016/j.jtbi.2014.01.008","","","30","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","7","5","6","4"
"Quantification of epitope abundance reveals the effect of direct and cross-presentation on influenza CTL responses","Wu, Ting; Guan, Jing; Handel, Andreas; Tscharke, David C.; Sidney, John; Sette, Alessandro; Wakim, Linda M.; Sng, Xavier Y. X.; Thomas, Paul G.; Croft, Nathan P.; Purcell, Anthony W.; La Gruta, Nicole L.","","","","NATURE COMMUNICATIONS","JUN 28 2019","2019","10","","","","","","","2846","10.1038/s41467-019-10661-8","","","28","9.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","15","7"
"Heterogeneity and longevity of antibody memory to viruses and vaccines","Antia, Alice; Ahmed, Hasan; Handel, Andreas; Carlson, Nichole E.; Amanna, Ian J.; Antia, Rustom; Slifka, Mark","","","","PLOS BIOLOGY","AUG 2018","2018","16","8","","","","","","e2006601","10.1371/journal.pbio.2006601","","","27","6.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","7","11"
"Trade-offs between and within scales: environmental persistence and within-host fitness of avian influenza viruses","Handel, Andreas; Lebarbenchon, Camille; Stallknecht, David; Rohani, Pejman","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","JUL 22 2014","2014","281","1787","","","","","","20133051","10.1098/rspb.2013.3051","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","2","3","4","5","2"
"Reproducible selection of high avidity CD8(+) T-cell clones following secondary acute virus infection","Cukalac, Tania; Chadderton, Jesseka; Handel, Andreas; Doherty, Peter C.; Turner, Stephen J.; Thomas, Paul G.; La Gruta, Nicole L.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","JAN 28 2014","2014","111","4","","","","1485","1490","","10.1073/pnas.1323736111","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","5","6","2","4","2"
"Surviving the Bottleneck: Transmission Mutants and the Evolution of Microbial Populations","Handel, Andreas; Bennett, Matthew R.","","","","GENETICS","DEC 2008","2008","180","4","","","","2193","2200","","10.1534/genetics.108.093013","","","27","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3","3","4","2","3","3","2","1","1","2"
"The impact of population size on the evolution of asexual microbes on smooth versus rugged fitness landscapes","Handel, Andreas; Rozen, Daniel E.","","","","BMC EVOLUTIONARY BIOLOGY","SEP 18 2009","2009","9","","","","","","","236","10.1186/1471-2148-9-236","","","25","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","5","0","2","1","3","4","1","1","1"
